MS-Omics ID,Acetic acid,Formic acid,Propanoic acid,2-Methylpropanoic acid,Butanoic acid,3-Methylbutanoic acid,Pentanoic acid,4-Methylpentanoic acid,Hexanoic acid,Heptanoic acid
SA069597,2.296,0.075,1.764,0.014,0.025,0.004,0.006,0.000,0.003,0.001
SA069598,1.470,0.057,1.064,0.013,0.049,0.005,0.049,0.028,0.004,0.000
SA069599,1.958,0.092,0.979,0.016,0.029,0.004,0.049,0.002,0.004,0.000
SA069600,4.268,0.083,1.880,0.032,0.067,0.012,0.106,0.011,0.007,0.000
SA069601,3.271,0.094,1.452,0.029,0.050,0.011,0.077,0.003,0.005,0.000
SA069602,1.001,0.044,0.849,0.012,0.032,0.006,0.041,0.002,0.003,0.000
SA069603,3.450,0.114,1.873,0.043,0.068,0.019,0.093,0.002,0.005,0.000
SA069604,1.974,0.072,1.111,0.020,0.048,0.008,0.073,0.000,0.003,0.000
SA069605,3.286,0.100,2.494,0.027,0.049,0.008,0.013,0.001,0.004,0.000
SA069606,2.742,0.109,1.944,0.042,0.077,0.017,0.095,0.002,0.005,0.000
SA069607,4.523,0.099,1.379,0.033,0.106,0.009,0.088,0.001,0.006,0.000
SA069608,3.521,0.048,2.036,0.027,0.082,0.009,0.111,0.003,0.004,0.001
SA069609,3.541,0.110,1.883,0.024,0.047,0.005,0.106,0.002,0.006,0.000
SA069610,3.249,0.077,1.938,0.030,0.067,0.010,0.101,0.001,0.004,0.001
SA069611,2.458,0.086,1.374,0.033,0.037,0.015,0.071,0.002,0.004,0.000
SA069612,1.212,0.095,0.631,0.019,0.015,0.016,0.034,0.000,0.003,0.000
SA069613,1.225,0.052,0.578,0.014,0.025,0.006,0.045,0.001,0.002,0.001
SA069614,1.894,0.096,1.020,0.020,0.019,0.009,0.047,0.004,0.003,0.000
SA069615,2.281,0.089,1.546,0.022,0.039,0.010,0.051,0.001,0.003,0.000
SA069616,2.761,0.108,1.433,0.026,0.027,0.012,0.063,0.004,0.004,0.000
SA069617,2.085,0.100,0.834,0.028,0.048,0.011,0.054,0.002,0.005,0.000
SA069618,1.783,0.138,1.376,0.009,0.025,0.003,0.041,0.001,0.002,0.000
SA069619,2.877,0.124,1.511,0.022,0.063,0.006,0.068,0.002,0.006,0.001
SA069620,0.357,0.054,0.170,0.003,0.004,0.001,0.007,0.000,0.002,0.000
SA069621,1.627,0.087,1.216,0.008,0.023,0.003,0.027,0.001,0.003,0.000
SA069622,4.507,0.127,3.623,0.075,0.087,0.048,0.052,0.000,0.004,0.000
SA069623,2.298,0.116,1.109,0.017,0.039,0.008,0.051,0.001,0.004,0.000
SA069624,1.108,0.107,0.646,0.032,0.021,0.020,0.054,0.002,0.004,0.000
SA069625,2.258,0.100,1.320,0.015,0.022,0.005,0.043,0.002,0.003,0.000
SA069626,2.790,0.105,1.524,0.015,0.036,0.005,0.048,0.002,0.003,0.000
SA069627,0.814,0.068,0.301,0.011,0.016,0.005,0.026,0.003,0.003,0.000
SA069628,2.521,0.079,1.274,0.033,0.069,0.013,0.089,0.001,0.005,0.000
SA069629,2.247,0.081,1.465,0.022,0.074,0.015,0.056,0.001,0.003,0.000
SA069630,5.143,0.110,2.547,0.052,0.210,0.015,0.121,0.001,0.008,0.001
SA069631,2.183,0.119,1.307,0.029,0.027,0.012,0.039,0.001,0.004,0.000
SA069632,2.144,0.070,0.925,0.031,0.053,0.015,0.072,0.001,0.004,0.000
SA069633,2.792,0.176,1.419,0.017,0.046,0.005,0.045,0.000,0.004,0.000
SA069634,2.887,0.069,1.411,0.041,0.070,0.015,0.084,0.001,0.005,0.000
SA069635,2.444,0.101,1.251,0.023,0.064,0.009,0.066,0.009,0.005,0.000
SA069636,0.834,0.053,0.381,0.007,0.003,0.001,0.009,0.000,0.002,0.001
SA069637,1.525,0.090,0.844,0.023,0.025,0.010,0.057,0.001,0.003,0.000
SA069638,1.815,0.070,1.258,0.015,0.017,0.005,0.038,0.000,0.002,0.000
SA069639,2.707,0.103,1.158,0.018,0.046,0.006,0.068,0.002,0.005,0.000
SA069640,3.195,0.066,1.348,0.035,0.104,0.016,0.088,0.000,0.005,0.000
SA069641,2.727,0.095,1.990,0.021,0.022,0.008,0.043,0.000,0.004,0.000
SA069642,0.707,0.080,0.444,0.012,0.015,0.010,0.029,0.001,0.002,0.000
SA069643,2.435,0.072,1.305,0.044,0.020,0.017,0.051,0.000,0.003,0.000
SA069644,3.418,0.084,1.529,0.057,0.082,0.027,0.105,0.004,0.007,0.001
SA069645,2.353,0.071,1.619,0.021,0.030,0.008,0.048,0.001,0.003,0.001
SA069646,2.259,0.099,1.622,0.022,0.028,0.010,0.053,0.001,0.003,0.000
SA069647,4.097,0.133,2.191,0.047,0.075,0.021,0.098,0.000,0.004,0.001
SA069648,2.187,0.098,1.247,0.020,0.027,0.007,0.058,0.001,0.003,0.000
SA069649,2.041,0.062,1.110,0.021,0.096,0.008,0.083,0.003,0.006,0.000
SA069650,2.179,0.078,0.929,0.013,0.030,0.004,0.041,0.000,0.003,0.000
SA069651,2.237,0.109,1.356,0.019,0.028,0.007,0.055,0.000,0.004,0.000
SA069652,4.066,0.130,2.429,0.040,0.031,0.020,0.054,0.001,0.004,0.000
SA069653,1.238,0.060,0.790,0.016,0.020,0.006,0.032,0.000,0.002,0.000
SA069654,1.656,0.062,0.943,0.015,0.037,0.006,0.042,0.000,0.003,0.000
SA069655,3.514,0.068,2.560,0.043,0.112,0.018,0.124,0.000,0.005,0.000
SA069656,2.298,0.110,1.287,0.026,0.031,0.011,0.051,0.001,0.003,0.000
SA069657,3.039,0.105,1.785,0.041,0.029,0.021,0.072,0.001,0.004,0.000
SA069658,2.370,0.067,1.492,0.032,0.033,0.019,0.074,0.000,0.003,0.000
SA069659,3.737,0.149,3.073,0.041,0.043,0.019,0.028,0.001,0.004,0.001
SA069660,1.353,0.095,0.757,0.012,0.016,0.005,0.040,0.000,0.003,0.000
SA069661,1.824,0.088,0.857,0.016,0.021,0.006,0.041,0.000,0.002,0.000
SA069662,2.815,0.103,1.601,0.030,0.045,0.017,0.072,0.000,0.004,0.001
SA069663,1.976,0.094,1.254,0.026,0.014,0.015,0.036,0.003,0.004,0.000
SA069664,1.856,0.075,1.397,0.020,0.016,0.007,0.044,0.001,0.003,0.000
SA069665,2.843,0.108,2.198,0.026,0.024,0.010,0.088,0.001,0.004,0.000
SA069666,2.765,0.097,1.235,0.026,0.062,0.010,0.079,0.001,0.004,0.000
SA069667,1.906,0.086,1.154,0.024,0.058,0.013,0.046,0.001,0.004,0.000
SA069668,2.211,0.079,0.923,0.023,0.044,0.012,0.047,0.000,0.004,0.000
SA069669,2.256,0.096,1.636,0.028,0.076,0.012,0.056,0.001,0.004,0.000
SA069670,1.980,0.108,1.291,0.035,0.043,0.020,0.061,0.000,0.004,0.000
SA069671,1.118,0.056,0.857,0.007,0.012,0.003,0.010,0.009,0.002,0.000
SA069672,1.835,0.096,0.949,0.023,0.022,0.011,0.039,0.001,0.003,0.000
SA069673,2.788,0.075,1.479,0.040,0.085,0.017,0.104,0.001,0.005,0.000
SA069674,2.314,0.076,0.770,0.025,0.033,0.013,0.050,0.001,0.003,0.000
SA069675,1.908,0.109,0.972,0.018,0.028,0.007,0.034,0.001,0.003,0.000
SA069676,1.327,0.091,0.764,0.021,0.013,0.013,0.030,0.001,0.003,0.001
SA069677,0.582,0.053,0.347,0.005,0.008,0.002,0.015,0.000,0.001,0.001
SA069678,1.207,0.081,0.655,0.013,0.010,0.005,0.028,0.000,0.003,0.000
SA069679,1.536,0.131,0.765,0.015,0.019,0.007,0.039,0.001,0.004,0.000
SA069680,1.858,0.069,1.390,0.012,0.017,0.004,0.028,0.000,0.002,0.000
SA069681,1.530,0.059,0.925,0.021,0.031,0.009,0.037,0.001,0.002,0.000
SA069682,1.599,0.112,0.713,0.047,0.016,0.025,0.029,0.001,0.003,0.000
SA069683,2.244,0.084,0.829,0.032,0.052,0.016,0.063,0.001,0.004,0.000
SA069684,1.568,0.076,0.750,0.016,0.039,0.007,0.037,0.001,0.003,0.000
SA069685,1.011,0.114,0.554,0.005,0.006,0.001,0.018,0.001,0.002,0.000
SA069686,1.498,0.100,0.861,0.018,0.023,0.010,0.044,0.001,0.003,0.000
SA069687,2.451,0.075,1.147,0.025,0.042,0.008,0.055,0.000,0.003,0.000
SA069688,1.538,0.059,0.844,0.025,0.035,0.010,0.064,0.003,0.004,0.000
SA069689,1.641,0.069,0.325,0.007,0.022,0.005,0.031,0.000,0.002,0.000
SA069690,2.032,0.098,1.022,0.035,0.074,0.017,0.057,0.000,0.004,0.000
SA069691,2.675,0.080,2.053,0.013,0.041,0.004,0.067,0.001,0.002,0.000
SA069692,0.939,0.044,0.660,0.012,0.007,0.006,0.018,0.001,0.001,0.001
SA069693,2.321,0.092,1.192,0.036,0.064,0.017,0.077,0.001,0.004,0.000
SA069694,2.924,0.103,1.304,0.045,0.037,0.016,0.077,0.000,0.005,0.000
SA069695,2.558,0.078,1.365,0.029,0.043,0.010,0.054,0.000,0.003,0.001
SA069696,1.532,0.058,0.987,0.023,0.021,0.015,0.053,0.002,0.002,0.000
SA069697,1.607,0.077,0.868,0.011,0.015,0.004,0.034,0.001,0.003,0.000
SA069698,1.732,0.112,0.971,0.016,0.022,0.010,0.051,0.001,0.003,0.001
SA069699,1.605,0.100,0.609,0.022,0.059,0.009,0.044,0.001,0.006,0.000
SA069700,2.050,0.098,1.278,0.027,0.032,0.012,0.077,0.001,0.004,0.000
SA069701,3.465,0.083,0.873,0.035,0.057,0.018,0.081,0.001,0.005,0.001
SA069702,0.371,0.039,0.250,0.017,0.008,0.008,0.016,0.004,0.001,0.001
SA069703,1.641,0.134,1.113,0.022,0.018,0.009,0.007,0.001,0.003,0.000
SA069704,1.719,0.095,1.126,0.026,0.026,0.016,0.043,0.001,0.003,0.000
SA069705,1.356,0.055,0.799,0.018,0.018,0.009,0.035,0.000,0.002,0.000
SA069706,1.756,0.080,1.203,0.027,0.047,0.014,0.041,0.001,0.003,0.000
SA069707,0.156,0.060,0.050,0.004,0.002,0.002,0.005,0.000,0.001,0.000
SA069708,0.931,0.101,0.541,0.010,0.011,0.005,0.020,0.000,0.002,0.000
SA069709,0.736,0.066,0.352,0.011,0.013,0.006,0.021,0.002,0.002,0.000
SA069710,1.734,0.091,0.867,0.024,0.042,0.010,0.055,0.001,0.004,0.000
SA069711,1.413,0.086,0.639,0.019,0.035,0.008,0.036,0.001,0.003,0.000
SA069712,1.989,0.080,1.290,0.015,0.020,0.004,0.038,0.000,0.003,0.000
SA069713,2.084,0.077,1.377,0.028,0.048,0.012,0.067,0.001,0.003,0.000
SA069714,3.546,0.056,1.727,0.041,0.050,0.015,0.092,0.012,0.004,0.000
SA069715,3.519,0.051,2.406,0.025,0.083,0.008,0.078,0.000,0.003,0.000
SA069716,0.830,0.086,0.310,0.009,0.011,0.004,0.018,0.001,0.003,0.001
SA069717,2.213,0.079,1.437,0.016,0.014,0.005,0.042,0.001,0.002,0.000
SA069718,1.705,0.135,1.317,0.008,0.033,0.002,0.037,0.001,0.002,0.000
SA069719,0.956,0.118,0.384,0.010,0.011,0.005,0.021,0.001,0.002,0.000
SA069720,2.272,0.169,1.409,0.026,0.090,0.009,0.074,0.000,0.005,0.000
SA069721,0.864,0.082,0.427,0.021,0.019,0.010,0.030,0.001,0.003,0.000
SA069722,2.508,0.112,1.230,0.045,0.055,0.018,0.085,0.002,0.006,0.000
SA069723,0.589,0.073,0.246,0.015,0.006,0.009,0.017,0.001,0.002,0.000
SA069724,1.718,0.089,0.403,0.010,0.024,0.005,0.028,0.001,0.003,0.000
SA069725,2.209,0.073,1.509,0.040,0.038,0.021,0.069,0.001,0.003,0.001
SA069726,1.140,0.071,0.662,0.020,0.042,0.011,0.037,0.000,0.003,0.001
SA069727,1.642,0.095,0.892,0.022,0.042,0.007,0.044,0.000,0.003,0.000
SA069728,3.258,0.097,1.714,0.033,0.081,0.010,0.083,0.002,0.004,0.000
SA069729,1.645,0.113,1.085,0.017,0.049,0.008,0.039,0.000,0.003,0.000
SA069730,1.858,0.053,0.945,0.030,0.050,0.013,0.059,0.001,0.004,0.000
